CustomerID,FirstName,LastName,City,State,ZipCode,Gender,DateOfBirth
CUST086,Christopher,Robinson,Jaipur,Rajasthan,96964,Male,1986-11-20
CUST087,Garrett,Lee,Pune,Maharashtra,96961,Female,1961-11-10
CUST088,Michelle,Miles,Bengaluru,Karnataka,96968,Male,1980-06-21
CUST089,Erica,Wilson,Jaipur,Rajasthan,96966,Male,1971-02-08
CUST090,Danielle,Shea,Chennai,Tamil Nadu,96963,Male,1988-09-19
CUST091,Daniel,Ellis,Bengaluru,Karnataka,96965,Female,1985-01-08
CUST092,Edward,Hinton,Delhi,Delhi,96967,Female,1965-12-01
CUST093,Richard,Frazier,Bengaluru,Karnataka,96968,Male,1982-07-29
CUST094,Sally,Morris,Delhi,Delhi,96967,Female,2006-09-16
CUST095,Cynthia,Baxter,Ahmedabad,Gujarat,96968,Male,1988-01-24
CUST096,Jeffery,Peterson,Hyderabad,Telangana,96965,Female,1998-01-24
CUST097,Austin,Hernandez,Hyderabad,Telangana,96964,Male,1987-09-20
CUST098,Eric,Gray,Chennai,Tamil Nadu,96964,Female,1993-04-07
CUST099,Lindsay,Jones,Bengaluru,Karnataka,96961,Male,1983-08-03
CUST100,Ruth,Jones,Mumbai,Maharashtra,96962,Female,1960-09-29
CUST101,Alexis,Anthony,Kolkata,West Bengal,96965,Male,2000-03-01
CUST102,Lauren,Melton,Bengaluru,Karnataka,96967,Female,2005-04-15
CUST103,William,Santana,Pune,Maharashtra,96968,Male,1960-05-29
CUST104,Christopher,Bauer,Ahmedabad,Gujarat,96968,Female,1995-03-04
CUST105,Vicki,Burgess,Bengaluru,Karnataka,96963,Female,1972-09-12
CUST106,Rachel,Butler,Jaipur,Rajasthan,96967,Female,1999-05-19
CUST107,Teresa,Lawson,Bengaluru,Karnataka,96963,Male,1999-08-29
CUST108,Lauren,Sandoval,Mumbai,Maharashtra,96960,Female,1994-05-08
CUST109,Kevin,Hudson,Chennai,Tamil Nadu,96965,Male,1961-12-11
CUST110,Michelle,Hahn,Chennai,Tamil Nadu,96964,Male,1995-11-16
CUST111,Patrick,Reyes,Kolkata,West Bengal,96962,Female,1989-07-24
CUST112,David,Mitchell,Jaipur,Rajasthan,96965,Female,1961-06-17
CUST113,Barry,Butler,Hyderabad,Telangana,96967,Male,2001-07-06
CUST114,Carolyn,Miller,Delhi,Delhi,96962,Female,1997-09-08
CUST115,Michael,Johnson,Bengaluru,Karnataka,96967,Female,1977-05-10
CUST116,Brandon,Ruiz,Bengaluru,Karnataka,96962,Male,1959-10-07
CUST117,Carmen,Anderson,Lucknow,Uttar Pradesh,96965,Female,1963-11-06
CUST118,Andrea,Reed,Bengaluru,Karnataka,96966,Male,1996-05-25
CUST119,Kimberly,Rodriguez,Ahmedabad,Gujarat,96960,Female,1988-01-30
CUST120,Tanner,Chen,Hyderabad,Telangana,96965,Female,1990-01-07
